task_description,due_date,keywords,effort_hours,is_urgent,priority
"Buy a new lamp.",2025-09-16,"lamp, new, buy",0.5,0,low
"Fix a broken fence.",2025-09-18,"fix, fence, broken",2,0,medium
"Organize your bookshelf.",2025-09-20,"organize, bookshelf, books",1,0,low
"Plan a birthday party for a friend.",2025-09-18,"plan, birthday, friend",3,0,medium
"Fix a leaky pipe in the basement.",2025-09-14,"fix, leaky, pipe",1.5,0,high
"Clean the patio furniture.",2025-09-20,"clean, patio, furniture",1,0,low
"Organize your storage unit.",2025-09-28,"organize, storage, unit",3,0,low
"Buy new appliances for the kitchen.",2025-09-25,"appliances, new, kitchen",2,0,low
"Fix a broken chair.",2025-09-16,"fix, chair, broken",1,0,low
"Organize your digital files.",2025-09-22,"organize, digital, files",2.5,0,low
"Clean the oven.",2025-09-20,"clean, oven, kitchen",2,0,low
"Buy a new car.",2025-09-25,"car, new, buy",8,0,low
"Fix a broken window.",2025-09-15,"fix, window, broken",2,0,high
"Organize your closet.",2025-09-25,"organize, closet, clothes",3,0,low
"Buy a new bed.",2025-09-20,"bed, new, buy",1,0,low
"Fix a running faucet.",2025-09-14,"fix, faucet, running",0.5,0,medium
"Organize your jewelry.",2025-09-20,"organize, jewelry, accessories",0.5,0,low
"Plan a birthday party for a child.",2025-09-18,"plan, birthday, child",4,0,medium
"Fix a broken toaster.",2025-09-16,"fix, toaster, broken",0.5,0,low
"Buy a new sofa.",2025-09-25,"sofa, new, buy",1,0,low
"Organize your shed.",2025-09-28,"organize, shed, storage",3,0,low
"Fix a leaky faucet in the bathroom.",2025-09-12,"fix, faucet, bathroom",1.5,0,high
"Clean the bathroom.",2025-09-20,"clean, bathroom, chore",1.5,0,low
"Buy new towels.",2025-09-18,"towels, new, buy",1,0,low
"Fix a broken lamp.",2025-09-15,"fix, lamp, broken",0.5,0,low
"Go for a walk.",2025-09-16,"walk, leisure, exercise",0.5,0,low
"Take out the trash.",2025-09-11,"trash, take out, routine",0.25,1,high
"Clean the kitchen.",2025-09-12,"clean, kitchen, chore",1,0,medium
"Go grocery shopping.",2025-09-13,"grocery, shopping, food",2,0,medium
"Take the dog for a walk.",2025-09-12,"dog, walk, routine",0.5,0,low
"Clean the bathroom.",2025-09-18,"clean, bathroom, chore",1.5,0,medium
"Wash the car.",2025-09-15,"wash, car, clean",1,0,medium
"Go for a bike ride.",2025-09-16,"bike, ride, leisure",1.5,0,low
"Organize the garage.",2025-09-20,"organize, garage, chore",3,0,low
"Buy a new shirt.",2025-09-14,"shirt, new, buy",0.5,0,low
"Fix a flat tire.",2025-09-13,"fix, flat tire, repair",1,0,medium
"Take out the recycling.",2025-09-11,"recycling, take out, routine",0.25,1,high
"Cook dinner.",2025-09-11,"cook, dinner, food",1,0,high
"Clean the bedroom.",2025-09-16,"clean, bedroom, chore",1,0,low
"Buy new shoes.",2025-09-15,"shoes, new, buy",1,0,medium
"Organize your bookshelf.",2025-09-18,"organize, bookshelf, books",1,0,low
"Take a nap.",2025-09-14,"nap, rest, leisure",0.5,0,low
"Go for a run.",2025-09-15,"run, exercise, leisure",0.5,0,low
"Pay the phone bill.",2025-09-12,"pay, phone, bill",0.5,0,high
"Clean the living room.",2025-09-14,"clean, living room, chore",1.5,0,medium
"Organize the pantry.",2025-09-20,"organize, pantry, food",1.5,0,low
"Buy new bedding.",2025-09-18,"bedding, new, buy",1,0,low
"Fix a loose railing.",2025-09-15,"fix, railing, repair",1,0,medium
"Take a walk in the park.",2025-09-16,"walk, park, leisure",1,0,low
"Organize your home office.",2025-09-22,"organize, home office, clean",2,0,low
"Buy a new coat.",2025-09-18,"coat, new, buy",1,0,low
"Fix a running toilet.",2025-09-15,"fix, toilet, running",1,0,medium
"Clean the gutters.",2025-09-25,"clean, gutters, chore",2.5,0,low
"Buy tickets to a movie.",2025-09-16,"tickets, movie, buy",0.25,0,low
"Organize your clothes by season.",2025-09-20,"organize, clothes, season",2.5,0,low
"Pay the car payment.",2025-09-12,"pay, car, payment",0.5,0,high
"Clean the carpets.",2025-09-25,"clean, carpets, chore",3,0,low
"Buy a new desk.",2025-09-20,"desk, new, buy",1,0,low
"Fix a broken kitchen cabinet.",2025-09-15,"fix, kitchen, cabinet",0.5,0,low
"Organize your digital photos.",2025-09-22,"organize, digital, photos",2.5,0,low
"Buy a new refrigerator.",2025-09-25,"refrigerator, new, buy",1,0,low
"Fix a leaking faucet in the kitchen.",2025-09-13,"fix, leaking, faucet",1.5,0,high
"Clean the windows.",2025-09-20,"clean, windows, chore",3,0,low
"Buy a new computer.",2025-09-25,"computer, new, buy",2,0,low
"Fix a leaky roof.",2025-09-14,"fix, leaky, roof",3,0,high
"Clean the bathroom.",2025-09-16,"clean, bathroom, chore",1.5,0,low
"Buy new clothes for the summer.",2025-09-15,"clothes, new, buy",2,0,medium
"Organize your finances.",2025-09-20,"organize, finance, budget",2,0,medium
"Plan a weekend getaway.",2025-09-22,"plan, weekend, getaway",2.5,0,low
"Fix a broken phone screen.",2025-09-15,"fix, broken, phone",1.5,0,high
"Clean out your garage.",2025-09-28,"clean, garage, organize",4,0,low
"Buy a new lamp.",2025-09-16,"lamp, new, buy",0.5,0,low
"Fix a broken fence.",2025-09-18,"fix, fence, broken",2,0,medium
"Organize your bookshelf.",2025-09-20,"organize, bookshelf, books",1,0,low
"Plan a birthday party for a friend.",2025-09-18,"plan, birthday, friend",3,0,medium
"Fix a leaky pipe in the basement.",2025-09-14,"fix, leaky, pipe",1.5,0,high
"Clean the patio furniture.",2025-09-20,"clean, patio, furniture",1,0,low
"Organize your storage unit.",2025-09-28,"organize, storage, unit",3,0,low
"Buy new appliances for the kitchen.",2025-09-25,"appliances, new, kitchen",2,0,low
"Fix a broken chair.",2025-09-16,"fix, chair, broken",1,0,low
"Organize your digital files.",2025-09-22,"organize, digital, files",2.5,0,low
"Clean the oven.",2025-09-20,"clean, oven, kitchen",2,0,low
"Buy a new car.",2025-09-25,"car, new, buy",8,0,low
"Fix a broken window.",2025-09-15,"fix, window, broken",2,0,high
"Organize your closet.",2025-09-25,"organize, closet, clothes",3,0,low
"Buy a new bed.",2025-09-20,"bed, new, buy",1,0,low
"Fix a running faucet.",2025-09-14,"fix, faucet, running",0.5,0,medium
"Organize your jewelry.",2025-09-20,"organize, jewelry, accessories",0.5,0,low
"Plan a birthday party for a child.",2025-09-18,"plan, birthday, child",4,0,medium
"Fix a broken toaster.",2025-09-16,"fix, toaster, broken",0.5,0,low
"Buy a new sofa.",2025-09-25,"sofa, new, buy",1,0,low
"Organize your shed.",2025-09-28,"organize, shed, storage",3,0,low
"Fix a leaky faucet in the bathroom.",2025-09-12,"fix, faucet, bathroom",1.5,0,high
"Clean the bathroom.",2025-09-20,"clean, bathroom, chore",1.5,0,low
"Buy new towels.",2025-09-18,"towels, new, buy",1,0,low
"Fix a broken lamp.",2025-09-15,"fix, lamp, broken",0.5,0,low
"Go for a walk.",2025-09-16,"walk, leisure, exercise",0.5,0,low
"Take out the trash.",2025-09-11,"trash, take out, routine",0.25,1,high
"Clean the kitchen.",2025-09-12,"clean, kitchen, chore",1,0,medium
"Go grocery shopping.",2025-09-13,"grocery, shopping, food",2,0,medium
"Take the dog for a walk.",2025-09-12,"dog, walk, routine",0.5,0,low
"Clean the bathroom.",2025-09-18,"clean, bathroom, chore",1.5,0,medium
"Wash the car.",2025-09-15,"wash, car, clean",1,0,medium
"Go for a bike ride.",2025-09-16,"bike, ride, leisure",1.5,0,low
"Organize the garage.",2025-09-20,"organize, garage, chore",3,0,low
"Buy a new shirt.",2025-09-14,"shirt, new, buy",0.5,0,low
"Fix a flat tire.",2025-09-13,"fix, flat tire, repair",1,0,medium
"Take out the recycling.",2025-09-11,"recycling, take out, routine",0.25,1,high
"Cook dinner.",2025-09-11,"cook, dinner, food",1,0,high
"Clean the bedroom.",2025-09-16,"clean, bedroom, chore",1,0,low
"Buy new shoes.",2025-09-15,"shoes, new, buy",1,0,medium
"Organize your bookshelf.",2025-09-18,"organize, bookshelf, books",1,0,low
"Take a nap.",2025-09-14,"nap, rest, leisure",0.5,0,low
"Go for a run.",2025-09-15,"run, exercise, leisure",0.5,0,low
"Pay the phone bill.",2025-09-12,"pay, phone, bill",0.5,0,high
"Clean the living room.",2025-09-14,"clean, living room, chore",1.5,0,medium
"Organize the pantry.",2025-09-20,"organize, pantry, food",1.5,0,low
"Buy new bedding.",2025-09-18,"bedding, new, buy",1,0,low
"Fix a loose railing.",2025-09-15,"fix, railing, repair",1,0,medium
"Take a walk in the park.",2025-09-16,"walk, park, leisure",1,0,low
"Organize your home office.",2025-09-22,"organize, home office, clean",2,0,low
"Buy a new coat.",2025-09-18,"coat, new, buy",1,0,low
"Fix a running toilet.",2025-09-15,"fix, toilet, running",1,0,medium
"Clean the gutters.",2025-09-25,"clean, gutters, chore",2.5,0,low
"Buy tickets to a movie.",2025-09-16,"tickets, movie, buy",0.25,0,low
"Organize your clothes by season.",2025-09-20,"organize, clothes, season",2.5,0,low
"Pay the car payment.",2025-09-12,"pay, car, payment",0.5,0,high
"Clean the carpets.",2025-09-25,"clean, carpets, chore",3,0,low
"Buy a new desk.",2025-09-20,"desk, new, buy",1,0,low
"Fix a broken kitchen cabinet.",2025-09-15,"fix, kitchen, cabinet",0.5,0,low
"Organize your digital photos.",2025-09-22,"organize, digital, photos",2.5,0,low
"Buy a new refrigerator.",2025-09-25,"refrigerator, new, buy",1,0,low
"Fix a leaking faucet in the kitchen.",2025-09-13,"fix, leaking, faucet",1.5,0,high
"Clean the windows.",2025-09-20,"clean, windows, chore",3,0,low
"Buy a new computer.",2025-09-25,"computer, new, buy",2,0,low
"Fix a leaky roof.",2025-09-14,"fix, leaky, roof",3,0,high
"Clean the bathroom.",2025-09-16,"clean, bathroom, chore",1.5,0,low
"Buy new clothes for the summer.",2025-09-15,"clothes, new, buy",2,0,medium
"Organize your finances.",2025-09-20,"organize, finance, budget",2,0,medium
"Plan a weekend getaway.",2025-09-22,"plan, weekend, getaway",2.5,0,low
"Fix a broken phone screen.",2025-09-15,"fix, broken, phone",1.5,0,high
"Clean out your garage.",2025-09-28,"clean, garage, organize",4,0,low
"Buy a new lamp.",2025-09-16,"lamp, new, buy",0.5,0,low
"Fix a broken fence.",2025-09-18,"fix, fence, broken",2,0,medium
"Organize your bookshelf.",2025-09-20,"organize, bookshelf, books",1,0,low
"Plan a birthday party for a friend.",2025-09-18,"plan, birthday, friend",3,0,medium
"Fix a leaky pipe in the basement.",2025-09-14,"fix, leaky, pipe",1.5,0,high
"Clean the patio furniture.",2025-09-20,"clean, patio, furniture",1,0,low
"Organize your storage unit.",2025-09-28,"organize, storage, unit",3,0,low
"Buy new appliances for the kitchen.",2025-09-25,"appliances, new, kitchen",2,0,low
"Fix a broken chair.",2025-09-16,"fix, chair, broken",1,0,low
"Organize your digital files.",2025-09-22,"organize, digital, files",2.5,0,low
"Clean the oven.",2025-09-20,"clean, oven, kitchen",2,0,low
"Buy a new car.",2025-09-25,"car, new, buy",8,0,low
"Fix a broken window.",2025-09-15,"fix, window, broken",2,0,high
"Organize your closet.",2025-09-25,"organize, closet, clothes",3,0,low
"Buy a new bed.",2025-09-20,"bed, new, buy",1,0,low
"Fix a running faucet.",2025-09-14,"fix, faucet, running",0.5,0,medium
"Organize your jewelry.",2025-09-20,"organize, jewelry, accessories",0.5,0,low
"Plan a birthday party for a child.",2025-09-18,"plan, birthday, child",4,0,medium
"Fix a broken toaster.",2025-09-16,"fix, toaster, broken",0.5,0,low
"Buy a new sofa.",2025-09-25,"sofa, new, buy",1,0,low
"Organize your shed.",2025-09-28,"organize, shed, storage",3,0,low
"Fix a leaky faucet in the bathroom.",2025-09-12,"fix, faucet, bathroom",1.5,0,high
"Clean the bathroom.",2025-09-20,"clean, bathroom, chore",1.5,0,low
"Buy new towels.",2025-09-18,"towels, new, buy",1,0,low
"Fix a broken lamp.",2025-09-15,"fix, lamp, broken",0.5,0,low
"Go for a walk.",2025-09-16,"walk, leisure, exercise",0.5,0,low
"Take out the trash.",2025-09-11,"trash, take out, routine",0.25,1,high
"Clean the kitchen.",2025-09-12,"clean, kitchen, chore",1,0,medium
"Go grocery shopping.",2025-09-13,"grocery, shopping, food",2,0,medium
"Take the dog for a walk.",2025-09-12,"dog, walk, routine",0.5,0,low
"Clean the bathroom.",2025-09-18,"clean, bathroom, chore",1.5,0,medium
"Wash the car.",2025-09-15,"wash, car, clean",1,0,medium
"Go for a bike ride.",2025-09-16,"bike, ride, leisure",1.5,0,low
"Organize the garage.",2025-09-20,"organize, garage, chore",3,0,low
"Buy a new shirt.",2025-09-14,"shirt, new, buy",0.5,0,low
"Fix a flat tire.",2025-09-13,"fix, flat tire, repair",1,0,medium
"Take out the recycling.",2025-09-11,"recycling, take out, routine",0.25,1,high
"Cook dinner.",2025-09-11,"cook, dinner, food",1,0,high
"Clean the bedroom.",2025-09-16,"clean, bedroom, chore",1,0,low
"Buy new shoes.",2025-09-15,"shoes, new, buy",1,0,medium
"Organize your bookshelf.",2025-09-18,"organize, bookshelf, books",1,0,low
"Take a nap.",2025-09-14,"nap, rest, leisure",0.5,0,low
"Go for a run.",2025-09-15,"run, exercise, leisure",0.5,0,low
"Pay the phone bill.",2025-09-12,"pay, phone, bill",0.5,0,high
"Clean the living room.",2025-09-14,"clean, living room, chore",1.5,0,medium
"Organize the pantry.",2025-09-20,"organize, pantry, food",1.5,0,low
"Buy new bedding.",2025-09-18,"bedding, new, buy",1,0,low
"Fix a loose railing.",2025-09-15,"fix, railing, repair",1,0,medium
"Take a walk in the park.",2025-09-16,"walk, park, leisure",1,0,low
"Organize your home office.",2025-09-22,"organize, home office, clean",2,0,low
"Buy a new coat.",2025-09-18,"coat, new, buy",1,0,low
"Fix a running toilet.",2025-09-15,"fix, toilet, running",1,0,medium
"Clean the gutters.",2025-09-25,"clean, gutters, chore",2.5,0,low
"Buy tickets to a movie.",2025-09-16,"tickets, movie, buy",0.25,0,low
"Organize your clothes by season.",2025-09-20,"organize, clothes, season",2.5,0,low
"Pay the car payment.",2025-09-12,"pay, car, payment",0.5,0,high
"Clean the carpets.",2025-09-25,"clean, carpets, chore",3,0,low
"Buy a new desk.",2025-09-20,"desk, new, buy",1,0,low
"Fix a broken kitchen cabinet.",2025-09-15,"fix, kitchen, cabinet",0.5,0,low
"Organize your digital photos.",2025-09-22,"organize, digital, photos",2.5,0,low
"Buy a new refrigerator.",2025-09-25,"refrigerator, new, buy",1,0,low
"Fix a leaking faucet in the kitchen.",2025-09-13,"fix, leaking, faucet",1.5,0,high
"Clean the windows.",2025-09-20,"clean, windows, chore",3,0,low
"Buy a new computer.",2025-09-25,"computer, new, buy",2,0,low
"Fix a leaky roof.",2025-09-14,"fix, leaky, roof",3,0,high
"Clean the bathroom.",2025-09-16,"clean, bathroom, chore",1.5,0,low
"Buy new clothes for the summer.",2025-09-15,"clothes, new, buy",2,0,medium
"Organize your finances.",2025-09-20,"organize, finance, budget",2,0,medium
"Plan a weekend getaway.",2025-09-22,"plan, weekend, getaway",2.5,0,low
"Fix a broken phone screen.",2025-09-15,"fix, broken, phone",1.5,0,high
"Clean out your garage.",2025-09-28,"clean, garage, organize",4,0,low
"Buy a new lamp.",2025-09-16,"lamp, new, buy",0.5,0,low
"Fix a broken fence.",2025-09-18,"fix, fence, broken",2,0,medium
"Organize your bookshelf.",2025-09-20,"organize, bookshelf, books",1,0,low
"Plan a birthday party for a friend.",2025-09-18,"plan, birthday, friend",3,0,medium
"Fix a leaky pipe in the basement.",2025-09-14,"fix, leaky, pipe",1.5,0,high
"Clean the patio furniture.",2025-09-20,"clean, patio, furniture",1,0,low
"Organize your storage unit.",2025-09-28,"organize, storage, unit",3,0,low
"Buy new appliances for the kitchen.",2025-09-25,"appliances, new, kitchen",2,0,low
"Fix a broken chair.",2025-09-16,"fix, chair, broken",1,0,low
"Organize your digital files.",2025-09-22,"organize, digital, files",2.5,0,low
"Clean the oven.",2025-09-20,"clean, oven, kitchen",2,0,low
"Buy a new car.",2025-09-25,"car, new, buy",8,0,low
"Fix a broken window.",2025-09-15,"fix, window, broken",2,0,high
"Organize your closet.",2025-09-25,"organize, closet, clothes",3,0,low
"Buy a new bed.",2025-09-20,"bed, new, buy",1,0,low
"Fix a running faucet.",2025-09-14,"fix, faucet, running",0.5,0,medium
"Organize your jewelry.",2025-09-20,"organize, jewelry, accessories",0.5,0,low
"Plan a birthday party for a child.",2025-09-18,"plan, birthday, child",4,0,medium
"Fix a broken toaster.",2025-09-16,"fix, toaster, broken",0.5,0,low
"Buy a new sofa.",2025-09-25,"sofa, new, buy",1,0,low
"Organize your shed.",2025-09-28,"organize, shed, storage",3,0,low
"Fix a leaky faucet in the bathroom.",2025-09-12,"fix, faucet, bathroom",1.5,0,high
"Clean the bathroom.",2025-09-20,"clean, bathroom, chore",1.5,0,low
"Buy new towels.",2025-09-18,"towels, new, buy",1,0,low
"Fix a broken lamp.",2025-09-15,"fix, lamp, broken",0.5,0,low
"Go for a walk.",2025-09-16,"walk, leisure, exercise",0.5,0,low
"Take out the trash.",2025-09-11,"trash, take out, routine",0.25,1,high
"Clean the kitchen.",2025-09-12,"clean, kitchen, chore",1,0,medium
"Go grocery shopping.",2025-09-13,"grocery, shopping, food",2,0,medium
"Take the dog for a walk.",2025-09-12,"dog, walk, routine",0.5,0,low
"Clean the bathroom.",2025-09-18,"clean, bathroom, chore",1.5,0,medium
"Wash the car.",2025-09-15,"wash, car, clean",1,0,medium
"Go for a bike ride.",2025-09-16,"bike, ride, leisure",1.5,0,low
"Organize the garage.",2025-09-20,"organize, garage, chore",3,0,low
"Buy a new shirt.",2025-09-14,"shirt, new, buy",0.5,0,low
"Fix a flat tire.",2025-09-13,"fix, flat tire, repair",1,0,medium
"Take out the recycling.",2025-09-11,"recycling, take out, routine",0.25,1,high
"Cook dinner.",2025-09-11,"cook, dinner, food",1,0,high
"Clean the bedroom.",2025-09-16,"clean, bedroom, chore",1,0,low
"Buy new shoes.",2025-09-15,"shoes, new, buy",1,0,medium
"Organize your bookshelf.",2025-09-18,"organize, bookshelf, books",1,0,low
"Take a nap.",2025-09-14,"nap, rest, leisure",0.5,0,low
"Go for a run.",2025-09-15,"run, exercise, leisure",0.5,0,low
"Pay the phone bill.",2025-09-12,"pay, phone, bill",0.5,0,high
"Clean the living room.",2025-09-14,"clean, living room, chore",1.5,0,medium
"Organize the pantry.",2025-09-20,"organize, pantry, food",1.5,0,low
"Buy new bedding.",2025-09-18,"bedding, new, buy",1,0,low
"Fix a loose railing.",2025-09-15,"fix, railing, repair",1,0,medium
"Take a walk in the park.",2025-09-16,"walk, park, leisure",1,0,low
"Organize your home office.",2025-09-22,"organize, home office, clean",2,0,low
"Buy a new coat.",2025-09-18,"coat, new, buy",1,0,low
"Fix a running toilet.",2025-09-15,"fix, toilet, running",1,0,medium
"Clean the gutters.",2025-09-25,"clean, gutters, chore",2.5,0,low
"Buy tickets to a movie.",2025-09-16,"tickets, movie, buy",0.25,0,low
"Organize your clothes by season.",2025-09-20,"organize, clothes, season",2.5,0,low
"Pay the car payment.",2025-09-12,"pay, car, payment",0.5,0,high
"Clean the carpets.",2025-09-25,"clean, carpets, chore",3,0,low
"Buy a new desk.",2025-09-20,"desk, new, buy",1,0,low
"Fix a broken kitchen cabinet.",2025-09-15,"fix, kitchen, cabinet",0.5,0,low
"Organize your digital photos.",2025-09-22,"organize, digital, photos",2.5,0,low
"Buy a new refrigerator.",2025-09-25,"refrigerator, new, buy",1,0,low
"Fix a leaking faucet in the kitchen.",2025-09-13,"fix, leaking, faucet",1.5,0,high
"Clean the windows.",2025-09-20,"clean, windows, chore",3,0,low
"Buy a new computer.",2025-09-25,"computer, new, buy",2,0,low
"Fix a leaky roof.",2025-09-14,"fix, leaky, roof",3,0,high
"Clean the bathroom.",2025-09-16,"clean, bathroom, chore",1.5,0,low
"Buy new clothes for the summer.",2025-09-15,"clothes, new, buy",2,0,medium
"Organize your finances.",2025-09-20,"organize, finance, budget",2,0,medium
"Plan a weekend getaway.",2025-09-22,"plan, weekend, getaway",2.5,0,low
"Fix a broken phone screen.",2025-09-15,"fix, broken, phone",1.5,0,high
"Clean out your garage.",2025-09-28,"clean, garage, organize",4,0,low
"Buy a new lamp.",2025-09-16,"lamp, new, buy",0.5,0,low
"Fix a broken fence.",2025-09-18,"fix, fence, broken",2,0,medium
"Organize your bookshelf.",2025-09-20,"organize, bookshelf, books",1,0,low
"Plan a birthday party for a friend.",2025-09-18,"plan, birthday, friend",3,0,medium
"Fix a leaky pipe in the basement.",2025-09-14,"fix, leaky, pipe",1.5,0,high
"Clean the patio furniture.",2025-09-20,"clean, patio, furniture",1,0,low
"Organize your storage unit.",2025-09-28,"organize, storage, unit",3,0,low
"Buy new appliances for the kitchen.",2025-09-25,"appliances, new, kitchen",2,0,low
"Fix a broken chair.",2025-09-16,"fix, chair, broken",1,0,low
"Organize your digital files.",2025-09-22,"organize, digital, files",2.5,0,low
"Clean the oven.",2025-09-20,"clean, oven, kitchen",2,0,low
"Buy a new car.",2025-09-25,"car, new, buy",8,0,low
"Fix a broken window.",2025-09-15,"fix, window, broken",2,0,high
"Organize your closet.",2025-09-25,"organize, closet, clothes",3,0,low
"Buy a new bed.",2025-09-20,"bed, new, buy",1,0,low
"Fix a running faucet.",2025-09-14,"fix, faucet, running",0.5,0,medium
"Organize your jewelry.",2025-09-20,"organize, jewelry, accessories",0.5,0,low
"Plan a birthday party for a child.",2025-09-18,"plan, birthday, child",4,0,medium
"Fix a broken toaster.",2025-09-16,"fix, toaster, broken",0.5,0,low
"Buy a new sofa.",2025-09-25,"sofa, new, buy",1,0,low
"Organize your shed.",2025-09-28,"organize, shed, storage",3,0,low
"Fix a leaky faucet in the bathroom.",2025-09-12,"fix, faucet, bathroom",1.5,0,high
"Clean the bathroom.",2025-09-20,"clean, bathroom, chore",1.5,0,low
"Buy new towels.",2025-09-18,"towels, new, buy",1,0,low
"Fix a broken lamp.",2025-09-15,"fix, lamp, broken",0.5,0,low
"Go for a walk.",2025-09-16,"walk, leisure, exercise",0.5,0,low
"Take out the trash.",2025-09-11,"trash, take out, routine",0.25,1,high
"Clean the kitchen.",2025-09-12,"clean, kitchen, chore",1,0,medium
"Go grocery shopping.",2025-09-13,"grocery, shopping, food",2,0,medium
"Take the dog for a walk.",2025-09-12,"dog, walk, routine",0.5,0,low
"Clean the bathroom.",2025-09-18,"clean, bathroom, chore",1.5,0,medium
"Wash the car.",2025-09-15,"wash, car, clean",1,0,medium
"Go for a bike ride.",2025-09-16,"bike, ride, leisure",1.5,0,low
"Organize the garage.",2025-09-20,"organize, garage, chore",3,0,low
"Buy a new shirt.",2025-09-14,"shirt, new, buy",0.5,0,low
"Fix a flat tire.",2025-09-13,"fix, flat tire, repair",1,0,medium
"Take out the recycling.",2025-09-11,"recycling, take out, routine",0.25,1,high
"Cook dinner.",2025-09-11,"cook, dinner, food",1,0,high
"Clean the bedroom.",2025-09-16,"clean, bedroom, chore",1,0,low
"Buy new shoes.",2025-09-15,"shoes, new, buy",1,0,medium
"Organize your bookshelf.",2025-09-18,"organize, bookshelf, books",1,0,low
"Take a nap.",2025-09-14,"nap, rest, leisure",0.5,0,low
"Go for a run.",2025-09-15,"run, exercise, leisure",0.5,0,low
"Pay the phone bill.",2025-09-12,"pay, phone, bill",0.5,0,high
"Clean the living room.",2025-09-14,"clean, living room, chore",1.5,0,medium
"Organize the pantry.",2025-09-20,"organize, pantry, food",1.5,0,low
"Buy new bedding.",2025-09-18,"bedding, new, buy",1,0,low
"Fix a loose railing.",2025-09-15,"fix, railing, repair",1,0,medium
"Take a walk in the park.",2025-09-16,"walk, park, leisure",1,0,low
"Organize your home office.",2025-09-22,"organize, home office, clean",2,0,low
"Buy a new coat.",2025-09-18,"coat, new, buy",1,0,low
"Fix a running toilet.",2025-09-15,"fix, toilet, running",1,0,medium
"Clean the gutters.",2025-09-25,"clean, gutters, chore",2.5,0,low
"Buy tickets to a movie.",2025-09-16,"tickets, movie, buy",0.25,0,low
"Organize your clothes by season.",2025-09-20,"organize, clothes, season",2.5,0,low
"Pay the car payment.",2025-09-12,"pay, car, payment",0.5,0,high
"Clean the carpets.",2025-09-25,"clean, carpets, chore",3,0,low
"Buy a new desk.",2025-09-20,"desk, new, buy",1,0,low
"Fix a broken kitchen cabinet.",2025-09-15,"fix, kitchen, cabinet",0.5,0,low
"Organize your digital photos.",2025-09-22,"organize, digital, photos",2.5,0,low
"Buy a new refrigerator.",2025-09-25,"refrigerator, new, buy",1,0,low
"Fix a leaking faucet in the kitchen.",2025-09-13,"fix, leaking, faucet",1.5,0,high
"Clean the windows.",2025-09-20,"clean, windows, chore",3,0,low
"Buy a new computer.",2025-09-25,"computer, new, buy",2,0,low
"Fix a leaky roof.",2025-09-14,"fix, leaky, roof",3,0,high
"Clean the bathroom.",2025-09-16,"clean, bathroom, chore",1.5,0,low
"Buy new clothes for the summer.",2025-09-15,"clothes, new, buy",2,0,medium
"Organize your finances.",2025-09-20,"organize, finance, budget",2,0,medium
"Plan a weekend getaway.",2025-09-22,"plan, weekend, getaway",2.5,0,low
"Fix a broken phone screen.",2025-09-15,"fix, broken, phone",1.5,0,high
"Clean out your garage.",2025-09-28,"clean, garage, organize",4,0,low
"Buy a new lamp.",2025-09-16,"lamp, new, buy",0.5,0,low
"Fix a broken fence.",2025-09-18,"fix, fence, broken",2,0,medium
"Organize your bookshelf.",2025-09-20,"organize, bookshelf, books",1,0,low
"Plan a birthday party for a friend.",2025-09-18,"plan, birthday, friend",3,0,medium
"Fix a leaky pipe in the basement.",2025-09-14,"fix, leaky, pipe",1.5,0,high
"Clean the patio furniture.",2025-09-20,"clean, patio, furniture",1,0,low
"Organize your storage unit.",2025-09-28,"organize, storage, unit",3,0,low
"Buy new appliances for the kitchen.",2025-09-25,"appliances, new, kitchen",2,0,low
"Fix a broken chair.",2025-09-16,"fix, chair, broken",1,0,low
"Organize your digital files.",2025-09-22,"organize, digital, files",2.5,0,low
"Clean the oven.",2025-09-20,"clean, oven, kitchen",2,0,low
"Buy a new car.",2025-09-25,"car, new, buy",8,0,low
"Fix a broken window.",2025-09-15,"fix, window, broken",2,0,high
"Organize your closet.",2025-09-25,"organize, closet, clothes",3,0,low
"Buy a new bed.",2025-09-20,"bed, new, buy",1,0,low
"Fix a running faucet.",2025-09-14,"fix, faucet, running",0.5,0,medium
"Organize your jewelry.",2025-09-20,"organize, jewelry, accessories",0.5,0,low
"Plan a birthday party for a child.",2025-09-18,"plan, birthday, child",4,0,medium
"Fix a broken toaster.",2025-09-16,"fix, toaster, broken",0.5,0,low
"Buy a new sofa.",2025-09-25,"sofa, new, buy",1,0,low
"Organize your shed.",2025-09-28,"organize, shed, storage",3,0,low
"Fix a leaky faucet in the bathroom.",2025-09-12,"fix, faucet, bathroom",1.5,0,high
"Clean the bathroom.",2025-09-20,"clean, bathroom, chore",1.5,0,low
"Buy new towels.",2025-09-18,"towels, new, buy",1,0,low
"Fix a broken lamp.",2025-09-15,"fix, lamp, broken",0.5,0,low
"Go for a walk.",2025-09-16,"walk, leisure, exercise",0.5,0,low
"Take out the trash.",2025-09-11,"trash, take out, routine",0.25,1,high
"Clean the kitchen.",2025-09-12,"clean, kitchen, chore",1,0,medium
"Go grocery shopping.",2025-09-13,"grocery, shopping, food",2,0,medium
"Take the dog for a walk.",2025-09-12,"dog, walk, routine",0.5,0,low
"Clean the bathroom.",2025-09-18,"clean, bathroom, chore",1.5,0,medium
"Wash the car.",2025-09-15,"wash, car, clean",1,0,medium
"Go for a bike ride.",2025-09-16,"bike, ride, leisure",1.5,0,low
"Organize the garage.",2025-09-20,"organize, garage, chore",3,0,low
